Model,RMSE,MAE,MAPE,MASE,AIC,BIC
GARCH-Direct,0.01756116621356567,0.01662078126454413,95.90006082928429,17.697977156041002,-10874.778213778594,-10857.106466174624
ARIMA-Direct,0.018160587899811367,0.017258546637499598,99.25757151196714,18.377076220148048,-24660.370537358882,-24619.139079867113
"MODWT-GARCH (wavelet=db14, level=3, double=False)",0.025082946374995974,0.024436532723417705,137.44444735309403,17.64325049469899,-9033.08595427722,-9015.41420667325
"MODWT-ARIMA (wavelet=db14, level=3, double=False)",0.029129175517326755,0.02857413696072626,159.454330106155,20.63061326146359,-25584.024184984522,-25542.792727492753
