Model,RMSE,MAE,Median_RMSE,Median_MAE,Mean_Pinball_Loss,Pinball_q1,Pinball_q5,Pinball_q50,Pinball_q95,Pinball_q99,Winkler_Score,PI_Coverage_90%,PI_Width_Avg,Quantile_Crossing_%,Direction_Win_Rate_%
BASE_RIDGE,0.001271384033359792,0.0011502606143599554,,,,,,,,,,,,,
BASE_HAR,2.3918110641908106,2.097903628538575,,,,,,,,,,,,,
BASE_GARCH,0.0018011068557972298,0.0017238015087401497,,,,,,,,,,,,,
BASE_R_FOREST,0.0010939127818187062,0.0005607833508483387,,,,,,,,,,,,,
QRS,,,0.5798412312809614,0.496887274077251,0.0768672424184992,0.015846421615103704,0.07234389432053712,0.2484436370386255,0.03909685321479329,0.008605405903436409,2.228814950706607,92.83387622149837,2.1204214980889913,0.0,48.12398042414356
QLR,,,0.0012117016764561883,0.0005902799732684759,0.00012950128520947465,1.3488125939540335e-05,7.80179431842746e-05,0.00029513998663423794,0.0001478909627903638,0.00011296940749895653,0.004518178119492767,53.74592833876222,0.0009229437228683188,17.42671009771987,66.23164763458401
QRF,,,0.0013070012923486842,0.0005658257800740864,0.0001949288785104022,0.00015547326029440603,0.00019940026491643316,0.0002829128900370432,0.00018045275123904344,0.00015640522606508514,0.007597060323109532,27.850162866449512,0.0004559366462844468,0.0,67.53670473083197
DIRECT_QR,,,0.0007348539232735357,0.00036936723026443193,7.640938948494521e-05,6.281779891004708e-06,2.798811089744528e-05,0.00018468361513221596,0.00010447602476710023,5.86174167369599e-05,0.002649282713290909,89.73941368078175,0.0020193734318653613,2.6058631921824107,72.59380097879283
