Model,RMSE,MAE,MAPE,DA
ELM (PSO),0.010917878344068852,0.010014189607442398,58.934184733128134,0.5405405405405406
ELM (Simple),0.012687637222014464,0.011808845795618018,68.92029024340232,0.543918918918919
Simple Average,0.015470183122326465,0.01458818266443959,84.4703212479738,0.543918918918919
Hybrid 3 (Weighted Ensemble),0.015503449638940146,0.014624891714579945,84.6607653818141,0.543918918918919
GARCH,0.01756116621356567,0.01662078126454413,95.90006024856844,0.4594594594594595
Hybrid 1 (Selective EWT),0.01774318339101187,0.016924042631063493,97.10820412333662,0.5405405405405406
ARIMA,0.018040003593685638,0.017134406863959274,98.58979838108756,0.5405405405405406
Hybrid 2 (ELM-Dominant),0.040183596628643424,0.034766360912021343,183.76651337099702,0.5101351351351351
