Model,RMSE,MAE,Median_RMSE,Median_MAE,Mean_Pinball_Loss,Pinball_q1,Pinball_q5,Pinball_q50,Pinball_q95,Pinball_q99,Winkler_Score,PI_Coverage_90%,PI_Width_Avg,Quantile_Crossing_%,Direction_Win_Rate_%
BASE_RIDGE,0.0013069502506733099,0.0012031272273422932,,,,,,,,,,,,,
BASE_HAR,0.0007286603382580446,0.00040197893873894177,,,,,,,,,,,,,
BASE_GARCH,0.002102605869908278,0.0020326722449253735,,,,,,,,,,,,,
BASE_R_FOREST,0.001097762613192656,0.0005400100736931784,,,,,,,,,,,,,
QRS,,,0.000729018032999372,0.0003912762549786155,0.00011116763024856238,1.9906108428948084e-05,4.8208855016123654e-05,0.00019563812748930775,0.0001767179639878731,0.00011536709632055937,0.004498536380079933,91.869918699187,0.003763332971038701,0.0,68.56677524429968
QLR,,,0.001400634209815573,0.0006172650000287099,0.0001408103198766801,1.876303485861473e-05,0.0001119049296828913,0.00030863250001435493,0.00014987941633000078,0.00011487171849753869,0.005235686920257841,47.642276422764226,0.0007766357568517935,5.528455284552845,63.51791530944625
QRF,,,0.0013359594219100137,0.000580750116199598,0.00020556144147021137,0.0001815683262721134,0.000227842840746376,0.000290375058099799,0.00017702294156411933,0.00015099804066864928,0.008097315646209906,21.788617886178862,0.0003980224217635133,0.0,64.33224755700326
DIRECT_QR,,,0.0007206700662953728,0.0003628139682284103,7.477074707445149e-05,5.8265147950021485e-06,2.7958622783162262e-05,0.00018140698411420514,0.00010209932542882758,5.656228825106028e-05,0.002601158964239795,92.19512195121952,0.002105712619708488,0.6504065040650406,73.7785016286645
