Model,RMSE,MAE,Median_RMSE,Median_MAE,Mean_Pinball_Loss,Pinball_q1,Pinball_q5,Pinball_q50,Pinball_q95,Pinball_q99,Winkler_Score,PI_Coverage_90%,PI_Width_Avg,Quantile_Crossing_%,Direction_Win_Rate_%
BASE_RIDGE,0.0012936047996195859,0.0011761599641793618,,,,,,,,,,,,,
BASE_HAR,0.773557450390415,0.5694106943219195,,,,,,,,,,,,,
BASE_GARCH,0.002102605869908278,0.0020326722449253735,,,,,,,,,,,,,
BASE_R_FOREST,0.0013729685369875172,0.0006870681547596363,,,,,,,,,,,,,
QRS,,,0.16567519694414942,0.1435902550584753,0.021947037778623175,0.004392214788202256,0.02014364928895669,0.07179512752923765,0.011033564579049995,0.002370632707669278,0.6235442773601335,91.70731707317074,0.5938785071224668,0.0,45.43973941368078
QLR,,,0.0015259973351470827,0.0007165201147210942,0.000140356228502173,1.3440047124695002e-05,0.0001028260902549665,0.0003582600573605471,0.00013728355721510466,8.997139055555179e-05,0.004802192949401422,53.65853658536586,0.0010925951803347446,9.75609756097561,54.23452768729642
QRF,,,0.0016470953482325273,0.0006981156892602236,0.00021875872654237324,0.00019779437520540063,0.0002687516050498202,0.0003490578446301118,0.00015667647706037996,0.00012151333076615368,0.008508561642204005,24.715447154471544,0.000644353644333354,0.0,59.28338762214984
DIRECT_QR,,,0.0007194018427488285,0.0003943906315002089,8.349873473711482e-05,6.147367400251134e-06,2.8158336840847875e-05,0.00019719531575010445,0.00012632915423710952,5.966349945726114e-05,0.0030897498215591464,89.43089430894308,0.002708784346744439,0.0,69.05537459283387
