Model,RMSE,MAE,Median_RMSE,Median_MAE,Mean_Pinball_Loss,Pinball_q1,Pinball_q5,Pinball_q50,Pinball_q95,Pinball_q99,Winkler_Score,PI_Coverage_90%,PI_Width_Avg,Quantile_Crossing_%,Direction_Win_Rate_%
BASE_RIDGE,0.0013069502506733099,0.0012031272273422932,,,,,,,,,,,,,
BASE_HAR,0.0007286603382580446,0.00040197893873894177,,,,,,,,,,,,,
BASE_GARCH,0.002102605869908278,0.0020326722449253735,,,,,,,,,,,,,
BASE_SVM,0.0010656788927279688,0.0005267896898198658,,,,,,,,,,,,,
QRS,,,0.0007263293540472923,0.00038901689745721776,0.00011134892944963608,1.9340898301794164e-05,4.8020973530156484e-05,0.00019450844872860888,0.00017867112891248598,0.00011620319777513489,0.004533842048852846,92.35772357723577,0.0038194346872540176,0.0,68.89250814332247
QLR,,,0.0013795091145978038,0.0006134301499958778,0.00013617852081846516,1.4804590254993858e-05,9.954082269049282e-05,0.0003067150749979389,0.00015341655487152974,0.00010641556127737056,0.005059147551240452,49.43089430894309,0.0007751737936946768,5.853658536585367,63.84364820846905
QRF,,,0.0012952255351910374,0.0005721074288215363,0.00020547256241745603,0.00018221773733587384,0.00022066632086005983,0.00028605371441076815,0.00018032363376238052,0.00015810140571819795,0.008019799092448808,23.414634146341466,0.0003808580895579965,0.0,65.14657980456026
DIRECT_QR,,,0.0007206700662953728,0.0003628139682284103,7.477074707445149e-05,5.8265147950021485e-06,2.7958622783162262e-05,0.00018140698411420514,0.00010209932542882758,5.656228825106028e-05,0.002601158964239795,92.19512195121952,0.002105712619708488,0.6504065040650406,73.7785016286645
