Model,RMSE,MAE,Median_RMSE,Median_MAE,Mean_Pinball_Loss,Pinball_q1,Pinball_q5,Pinball_q50,Pinball_q95,Pinball_q99,Winkler_Score,PI_Coverage_90%,PI_Width_Avg,Quantile_Crossing_%,Direction_Win_Rate_%
BASE_RIDGE,0.0012545552385502005,0.001143954013011344,,,,,,,,,,,,,
BASE_HAR,0.000710053377391489,0.0003939321454351592,,,,,,,,,,,,,
BASE_GARCH,0.0009635774887179449,0.0005864613186629357,,,,,,,,,,,,,
QRS,,,0.0007255416697596935,0.00037623850022732434,0.00011264474391956461,9.445902000817625e-06,3.108293676530835e-05,0.00018811925011366217,0.0002031478955275143,0.00013142773519052062,0.00468461664585645,97.37274220032842,0.004396787423586804,0.0,69.57236842105263
QLR,,,0.0007243414416387469,0.0003640132151831974,7.505885374659656e-05,5.847519027086892e-06,2.7997891900857714e-05,0.0001820066075915987,0.00010323434876092899,5.620790145251051e-05,0.002624644813235733,92.77504105090311,0.00213379768912449,3.4482758620689653,73.35526315789474
QRF,,,0.0008668955907371925,0.0004695071291587819,0.00010421039084117967,1.7671170634045875e-05,4.6791638984350546e-05,0.00023475356457939095,0.00015108851462015662,7.07470653879544e-05,0.0039576030720901425,65.35303776683087,0.0016743935094786593,0.0,65.625
DIRECT_QR,,,0.0007236381194134976,0.00036382620311278715,7.481896378712579e-05,5.852620772770114e-06,2.803790276076233e-05,0.00018191310155639358,0.00010319651683304665,5.5094677012656275e-05,0.0026246883918761774,92.28243021346469,0.0021239017910802188,0.8210180623973727,73.51973684210526
