Model,RMSE,MAE,Median_RMSE,Median_MAE,Mean_Pinball_Loss,Pinball_q1,Pinball_q5,Pinball_q50,Pinball_q95,Pinball_q99,Winkler_Score,PI_Coverage_90%,PI_Width_Avg,Quantile_Crossing_%,Direction_Win_Rate_%
BASE_RIDGE,0.0013069502506733099,0.0012031272273422932,,,,,,,,,,,,,
BASE_HAR,0.0007286603382580446,0.00040197893873894177,,,,,,,,,,,,,
BASE_GARCH,0.002102605869908278,0.0020326722449253735,,,,,,,,,,,,,
QRS,,,0.0007157784779359811,0.00037760487094748966,0.00011622785325940074,1.0841128148182283e-05,3.2019024219148334e-05,0.00018880243547374483,0.0002082267173625221,0.00014124996109340614,0.004804914831633406,96.91056910569105,0.004517676946781685,0.0,69.21824104234527
QLR,,,0.0007184018020319254,0.00036252423403006245,7.530500607159545e-05,5.834050633813521e-06,2.7962866153408343e-05,0.00018126211701503122,0.00010431338021342403,5.715261634230018e-05,0.0026455249273366465,90.89430894308943,0.002175177573274313,0.0,73.61563517915309
QRF,,,0.0008046083558400154,0.0004758605850006597,0.00010760352176918536,3.22702079136937e-05,5.97073609468629e-05,0.00023793029250032986,0.0001296887423558299,7.84210051292104e-05,0.0037879220660538542,57.073170731707314,0.0012459199251208344,0.0,65.79804560260585
DIRECT_QR,,,0.0007206700662953728,0.0003628139682284103,7.477074707445149e-05,5.8265147950021485e-06,2.7958622783162262e-05,0.00018140698411420514,0.00010209932542882758,5.656228825106028e-05,0.002601158964239795,92.19512195121952,0.002105712619708488,0.6504065040650406,73.7785016286645
