Model,RMSE,MAE,Median_RMSE,Median_MAE,Mean_Pinball_Loss,Pinball_q1,Pinball_q5,Pinball_q50,Pinball_q95,Pinball_q99,Winkler_Score,PI_Coverage_90%,PI_Width_Avg,Quantile_Crossing_%,Direction_Win_Rate_%
BASE_RIDGE,0.0012404405066085004,0.001117817306445804,,,,,,,,,,,,,
BASE_HAR,1.2274313734620186,1.0837067286160018,,,,,,,,,,,,,
BASE_GARCH,0.002102605869908278,0.0020326722449253735,,,,,,,,,,,,,
BASE_R_FOREST,0.0008306037201963244,0.0005252757854446164,,,,,,,,,,,,,
QRS,,,0.2968749400661989,0.2572546493301491,0.03937318118784486,0.0079533369269285,0.03648850005140873,0.12862732466507454,0.01947520243846085,0.00432154185735167,1.1192740497973912,92.19512195121952,1.069141668879255,0.0,45.11400651465798
QLR,,,0.0008730483775145342,0.0005482685377071949,0.0001225181270183605,1.4371041207430673e-05,6.701193850671829e-05,0.00027413426885359747,0.00014519990306211013,0.00011187348346194594,0.0042442368313765685,52.357723577235774,0.0008643046629187055,15.934959349593496,64.98371335504885
QRF,,,0.0008566007690845186,0.0005141190835362168,0.00016885597249645875,0.0001129399353083059,0.00015212943919238665,0.0002570595417681084,0.00017249591475915863,0.0001496550314543341,0.006492507079030906,27.31707317073171,0.0004562898712135995,0.0,66.93811074918567
DIRECT_QR,,,0.0007372124110140074,0.00036927348928891276,7.576652814293765e-05,6.080681104884742e-06,2.8014455470744365e-05,0.00018463674464445638,0.00010352160192103339,5.657915757356932e-05,0.0026307211478355536,89.75609756097562,0.002031579419488474,0.16260162601626016,72.9641693811075
