Model,RMSE,MAE,Median_RMSE,Median_MAE,Mean_Pinball_Loss,Pinball_q1,Pinball_q5,Pinball_q50,Pinball_q95,Pinball_q99,Winkler_Score,PI_Coverage_90%,PI_Width_Avg,Quantile_Crossing_%,Direction_Win_Rate_%
BASE_RIDGE,0.0013069502506733099,0.0012031272273422932,,,,,,,,,,,,,
BASE_HAR,0.0007286603382580446,0.00040197893873894177,,,,,,,,,,,,,
BASE_GARCH,0.002102605869908278,0.0020326722449253735,,,,,,,,,,,,,
BASE_SVM,0.04018713372824624,0.04017991798989132,,,,,,,,,,,,,
QRS,,,0.0007217900617385355,0.00039825955041399117,0.00012098049187250973,8.202957090162193e-06,2.9131784369976274e-05,0.00019912977520699558,0.00022351149850892275,0.00014492644418649192,0.0050528656575779774,93.65853658536587,0.004775258658872113,0.0,68.40390879478826
QLR,,,0.0007184017508444715,0.0003625242241196496,7.530501094859861e-05,5.8340503673855015e-06,2.7962864330993606e-05,0.0001812621120598248,0.00010431344231331297,5.7152585671476144e-05,0.0026455261328861297,90.89430894308943,0.0021751801774887005,0.0,73.61563517915309
QRF,,,0.0008058088752546318,0.0004758226885930125,0.00010732558126325807,3.218143720739247e-05,5.8982245175701395e-05,0.00023791134429650626,0.00012925284093845817,7.830003869823215e-05,0.00376470172228319,57.073170731707314,0.0012389758726662726,0.0,65.47231270358306
DIRECT_QR,,,0.0007206700662953728,0.0003628139682284103,7.477074707445149e-05,5.8265147950021485e-06,2.7958622783162262e-05,0.00018140698411420514,0.00010209932542882758,5.656228825106028e-05,0.002601158964239795,92.19512195121952,0.002105712619708488,0.6504065040650406,73.7785016286645
